x y z total
-0.5 -16.8 19.0 25.37
-0.9 -16.5 19.5 25.56
-0.1 -16.9 19.5 25.80
-0.1 -17.0 19.6 25.95
0.2 -17.6 19.8 26.49
1.3 -16.1 25.3 30.02
-7.8 -15.0 31.8 36.01
-10.7 -19.2 38.1 43.99
2.5 -37.0 31.8 48.85
-8.8 -20.6 19.0 29.37
-2.0 2.5 9.4 9.93
-3.0 -16.1 12.5 20.60
-4.1 -16.1 16.1 23.14
-3.5 -34.2 30.6 46.02
-8.1 -49.3 35.4 61.23
6.6 -64.7 3.3 65.12
15.9 -73.0 -27.4 79.58
37.7 -42.7 30.3 64.52
-7.4 -40.8 21.1 46.53
2.1 -24.5 20.0 31.70
0.0 -17.7 19.6 26.41
-1.5 -16.7 19.4 25.64
-1.6 -16.6 19.2 25.43
-0.8 -16.7 19.1 25.38
-1.0 -16.9 19.2 25.60
-0.9 -16.9 19.3 25.67
-0.4 -17.3 19.8 26.30
1.7 -16.3 22.0 27.43
0.9 -16.7 24.5 29.66
-4.3 -13.9 30.4 33.70
12.5 -39.4 26.4 49.05
-21.8 -25.4 24.5 41.48
-8.2 -37.7 22.5 44.66
-7.2 2.4 10.7 13.12
-3.9 -13.4 11.3 17.96
-0.9 -25.3 20.3 32.45
-3.8 -35.7 28.5 45.84
-6.3 -44.3 31.2 54.55
7.2 -64.9 10.0 66.06
-17.8 -23.8 12.8 32.36
34.1 -46.7 30.0 65.14
-16.4 -40.8 20.3 48.43
1.0 -23.6 20.5 31.28
-2.4 -17.0 19.1 25.68
-1.2 -16.7 19.1 25.40
-1.7 -16.8 19.1 25.49
-1.1 -16.9 19.1 25.53
-0.5 -17.7 19.1 26.05
-0.5 -17.5 19.1 25.91
0.3 -18.1 19.0 26.24
0.4 -17.4 19.8 26.36
0.5 -17.7 21.6 27.93
-5.4 -16.5 26.4 31.60
-5.9 -18.2 31.1 36.51
0.2 -43.4 24.1 49.64
-15.1 -14.5 17.2 27.09
-8.5 -20.8 9.5 24.40
2.3 -13.9 1.9 14.22
1.5 -11.5 7.1 13.60
-5.7 -28.4 13.4 31.92
-20.6 -44.8 17.4 52.29
-17.0 -63.8 -0.5 66.03
10.5 -51.0 -20.5 55.96
-18.6 -19.6 34.6 43.90
-10.2 -34.0 22.9 42.24
-0.9 -18.7 19.2 26.82
0.1 -16.9 19.2 25.58
-0.9 -17.2 19.0 25.64
-1.1 -16.3 19.3 25.29
-0.8 -16.7 19.3 25.53
-1.0 -16.8 19.3 25.61
-2.0 -16.4 19.3 25.41
-1.0 -16.6 19.3 25.48
-1.3 -16.6 19.5 25.64
-1.1 -15.7 19.7 25.21
-0.4 -15.4 19.6 24.93
-3.0 -15.8 19.5 25.28
-2.4 -15.9 19.4 25.20
-0.2 -15.4 19.7 25.01
0.3 -15.8 19.5 25.10
-2.5 -15.9 19.5 25.28
-2.6 -16.3 19.3 25.40
-2.4 -16.2 19.5 25.46
-0.8 -15.7 19.6 25.13
-0.6 -15.3 19.7 24.95
-2.0 -16.1 19.5 25.37
-1.1 -15.8 19.6 25.20
-1.5 -16.0 19.6 25.35
-1.7 -15.4 19.8 25.14
-1.5 -15.8 19.3 24.99
-1.3 -15.7 19.5 25.07
-1.5 -15.8 19.6 25.22
-0.9 -15.8 19.5 25.11
-1.6 -15.6 19.7 25.18
-1.3 -15.8 19.6 25.21
-1.5 -15.7 19.7 25.24
-1.6 -15.8 19.7 25.30
-1.4 -15.9 19.5 25.20
-1.2 -16.1 20.3 25.94
-1.5 -15.8 19.6 25.22
-1.5 -15.9 19.5 25.21
-1.6 -15.8 19.4 25.07
