x y z total
-0.4 -18.6 18.0 25.89
-0.1 -18.8 18.5 26.38
0.0 -18.7 18.7 26.45
-0.2 -18.6 19.6 27.02
-2.0 -17.2 23.2 28.95
-11.9 -15.9 32.6 38.17
-3.7 -38.0 31.6 49.56
-12.1 -41.1 34.0 54.70
-11.5 -18.7 16.2 27.28
0.0 -6.0 7.1 9.30
-6.4 -16.9 7.3 19.49
-3.4 -18.1 10.1 21.00
-4.0 -27.8 17.3 32.99
-6.1 -57.5 33.3 66.73
15.6 -72.6 -7.9 74.68
13.7 -81.9 -31.3 88.74
-9.8 2.7 42.9 44.09
12.6 -38.1 20.7 45.15
1.3 -19.7 20.2 28.25
-0.9 -17.0 19.2 25.66
-2.3 -17.4 19.1 25.94
-0.3 -18.0 18.1 25.53
-0.1 -18.2 18.4 25.88
0.3 -18.9 17.9 26.03
-0.4 -18.8 18.7 26.52
-0.3 -18.6 19.6 27.02
-1.0 -16.6 25.7 30.61
-12.4 -15.3 34.4 39.64
-4.5 -35.9 35.6 50.76
-11.3 -34.3 32.4 48.52
-7.3 -11.7 15.3 20.60
-2.4 -3.5 8.6 9.59
-2.7 -13.9 11.7 18.37
-1.1 -18.3 15.7 24.14
-3.0 -36.7 34.1 50.19
-10.8 -65.9 36.9 76.30
22.1 -77.7 -19.1 83.01
3.2 -61.6 -17.7 64.17
-19.3 -31.8 17.4 41.07
7.8 -28.4 20.6 35.94
1.6 -19.0 20.1 27.71
-0.2 -17.8 19.5 26.40
-0.6 -17.6 19.3 26.13
0.1 -18.0 18.4 25.74
-0.4 -18.2 18.5 25.95
0.2 -18.5 18.3 26.02
-0.2 -18.6 18.3 26.09
1.8 -17.0 21.9 27.78
0.5 -16.4 25.3 30.15
-6.0 -14.9 32.0 35.81
-6.3 -28.0 36.1 46.12
-14.7 -65.9 28.9 73.44
-4.9 -15.4 15.0 22.05
-5.0 0.6 10.4 11.56
-2.9 -17.4 11.8 21.22
-1.1 -26.9 20.3 33.72
-3.8 -37.2 31.6 48.96
-12.4 -65.5 27.8 72.23
18.5 -59.9 -12.4 63.91
16.8 -69.9 -27.9 77.11
-7.2 -34.0 24.9 42.75
2.5 -31.0 20.7 37.36
-1.5 -18.8 20.0 27.49
-2.0 -16.4 19.5 25.56
-1.8 -16.2 19.1 25.11
-0.6 -16.6 19.1 25.31
-0.9 -16.7 19.1 25.39
-1.5 -17.2 18.9 25.60
-0.6 -17.4 18.9 25.70
-0.5 -17.1 19.4 25.87
-0.6 -16.3 20.9 26.51
0.7 -16.0 22.7 27.78
-3.4 -15.0 29.4 33.18
-2.1 -18.9 27.7 33.60
-2.6 -35.0 13.2 37.50
-0.5 -44.5 13.6 46.53
-8.1 -9.7 9.9 16.05
-9.8 -20.6 7.2 23.92
-7.7 -23.3 7.9 25.78
-9.7 -32.9 13.8 36.97
-9.9 -40.4 17.2 45.01
0.5 -38.8 2.4 38.88
3.2 -42.0 0.1 42.12
-0.2 -31.6 -2.7 31.72
6.8 -8.9 24.0 26.48
-2.9 -16.0 19.5 25.39
0.5 -16.9 19.7 25.96
-2.2 -16.3 19.7 25.66
-1.6 -16.6 19.4 25.58
0.6 -17.1 19.0 25.57
-0.6 -16.5 19.6 25.63
-0.3 -16.5 19.3 25.39
-0.6 -16.7 19.3 25.53
-1.3 -15.6 19.6 25.08
-1.7 -15.5 19.9 25.28
-1.1 -15.8 19.7 25.28
-0.4 -15.7 19.7 25.19
0.4 -16.7 19.6 25.75
-1.3 -15.4 19.5 24.88
-0.9 -15.7 19.7 25.21
-1.6 -15.6 19.6 25.10
-1.2 -15.6 19.6 25.08
-1.2 -15.6 19.6 25.08
-1.1 -15.8 19.6 25.20
-1.1 -15.9 19.6 25.26
-1.3 -15.5 19.7 25.10
-1.0 -15.9 19.7 25.34
-1.3 -15.5 19.6 25.02
-1.0 -15.8 19.7 25.27
-1.2 -15.8 19.6 25.20
-1.3 -15.7 19.6 25.15
-1.3 -15.7 19.7 25.22
-1.2 -15.7 19.7 25.22
